iter	Passed	Remaining
967	12526	414
968	12538	401
969	12549	388
970	12561	375
971	12573	362
972	12584	349
973	12594	336
974	12606	323
975	12619	310
976	12630	297
977	12644	284
978	12656	271
979	12669	258
980	12680	245
981	12692	232
982	12704	219
983	12716	206
984	12727	193
985	12739	180
986	12753	167
987	12767	155
988	12778	142
989	12791	129
990	12801	116
991	12812	103
992	12824	90
993	12839	77
994	12852	64
995	12863	51
996	12874	38
997	12887	25
998	12899	12
999	12910	0
